ID_REF	VALUE
7892501	2.222
7892502	3.437
7892503	2.780
7892504	8.522
7892505	2.565
7892506	2.911
7892507	4.633
7892508	6.448
7892509	9.775
7892510	4.793
7892511	3.782
7892512	4.150
7892513	3.010
7892514	9.522
7892515	8.832
7892516	2.242
7892517	6.777
7892518	3.246
7892519	3.665
7892520	7.916
7892521	8.046
7892522	5.700
7892524	5.492
7892525	3.974
7892526	5.021
7892527	7.425
7892528	2.223
7892529	4.775
7892530	6.915
7892531	6.492
7892532	4.081
7892533	6.798
7892534	5.852
7892535	5.610
7892536	9.602
7892537	3.774
7892538	4.559
7892539	5.736
7892540	5.368
7892541	9.332
7892542	8.109
7892543	4.849
7892544	4.090
7892545	4.379
7892547	3.886
7892548	7.389
7892549	4.920
7892550	4.061
7892551	9.668
7892552	3.605
7892553	3.686
7892554	3.073
7892555	7.212
7892556	11.781
7892557	2.495
7892558	3.253
7892559	5.024
7892560	4.373
7892561	9.333
7892562	7.123
7892563	5.785
7892564	9.428
7892565	6.093
7892566	4.608
7892567	5.476
7892568	10.008
7892569	8.021
7892570	5.787
7892571	2.675
7892572	6.618
7892573	4.371
7892574	9.660
7892575	6.475
7892576	4.120
7892577	2.311
7892578	4.395
7892579	8.248
7892580	3.387
7892581	3.993
7892582	2.888
7892583	3.453
7892584	5.053
7892585	3.392
7892586	2.496
7892587	4.256
7892588	2.083
7892589	6.428
7892590	2.131
7892591	2.738
7892592	5.060
7892593	2.662
7892594	3.081
7892595	3.628
7892596	3.260
7892597	4.047
7892598	9.314
7892599	9.016
7892600	2.352
7892601	3.760
7892602	2.924
7892603	3.067
7892604	3.672
7892605	8.097
7892606	10.419
7892608	7.488
7892609	3.283
7892610	5.096
7892611	2.263
7892612	2.657
7892613	9.029
7892614	3.565
7892615	3.544
7892616	2.070
7892617	12.118
7892618	5.433
7892619	3.825
7892620	11.586
7892621	11.542
7892622	9.354
7892623	8.899
7892624	3.913
7892625	4.017
7892626	2.371
7892627	6.191
7892628	6.977
7892629	3.008
7892630	8.932
7892631	2.220
7892632	4.302
7892633	7.747
7892634	7.814
7892635	6.173
7892636	8.099
7892637	6.685
7892638	2.075
7892639	8.558
7892640	11.194
7892641	4.021
7892642	7.713
7892643	7.214
7892644	7.385
7892645	2.456
7892646	2.290
7892647	6.255
7892648	9.081
7892649	3.627
7892650	11.154
7892651	2.739
7892652	10.914
7892653	2.247
7892654	9.194
7892655	2.207
7892656	2.617
7892657	2.012
7892658	2.129
7892659	3.067
7892660	1.930
7892661	9.141
7892662	8.341
7892663	10.919
7892664	5.524
7892665	5.302
7892666	2.086
7892667	6.741
7892668	10.400
7892669	5.598
7892670	6.350
7892671	4.270
7892672	3.745
7892673	4.215
7892674	6.979
7892675	6.069
7892676	2.637
7892677	9.660
7892678	6.726
7892679	4.548
7892680	8.063
7892681	6.847
7892682	2.150
7892683	3.932
7892684	9.080
7892685	5.007
7892686	5.998
7892687	4.181
7892688	7.760
7892689	3.699
7892690	3.150
7892691	2.039
7892692	7.186
7892693	5.862
7892694	6.954
7892695	5.149
7892696	5.133
7892697	6.093
7892698	2.101
7892699	5.276
7892700	5.342
7892701	11.284
7892702	3.666
7892703	6.813
7892704	12.210
7892705	6.878
7892706	7.374
7892707	8.774
7892708	3.842
7892709	2.469
7892710	3.043
7892711	5.353
7892712	7.769
7892713	9.336
7892714	3.070
7892715	2.912
7892716	3.593
7892717	4.131
7892718	4.196
7892719	7.982
7892720	6.096
7892721	7.270
7892722	1.778
7892723	2.789
7892724	5.442
7892725	3.346
7892726	3.815
7892727	3.689
7892728	3.139
7892729	4.808
7892730	3.088
7892731	5.462
7892732	2.618
7892733	2.629
7892734	5.016
7892735	4.282
7892736	3.629
7892737	3.715
7892738	7.240
7892739	4.408
7892740	3.547
7892741	7.192
7892742	7.875
7892743	2.577
7892744	6.926
7892745	6.940
7892746	2.535
7892747	5.990
7892748	8.386
7892749	5.256
7892750	4.126
7892751	6.478
7892752	2.467
7892753	12.187
7892754	3.978
7892755	2.935
7892756	2.102
7892757	7.180
7892758	4.196
7892759	5.799
7892760	3.646
7892761	5.430
7892762	11.073
7892763	7.272
7892764	10.207
7892765	7.939
7892766	10.197
7892767	2.497
7892768	2.850
7892769	2.040
7892770	9.869
7892771	8.717
7892772	4.095
7892773	6.207
7892774	5.491
7892775	6.652
7892776	9.519
7892777	3.302
7892778	6.417
7892779	5.114
7892780	4.800
7892781	3.818
7892782	10.401
7892783	8.520
7892784	3.984
7892785	3.885
7892786	7.930
7892787	3.482
7892788	9.636
7892789	4.634
7892790	2.440
7892791	10.118
7892792	5.443
7892793	3.939
7892794	4.306
7892795	4.736
7892796	12.217
7892797	5.960
7892798	3.392
7892799	2.809
7892800	2.248
7892801	3.404
7892802	9.269
7892803	11.088
7892804	4.032
7892805	3.068
7892806	2.133
7892807	5.188
7892808	8.561
7892809	3.168
7892810	3.069
7892811	2.931
7892812	5.560
7892813	3.390
7892814	8.782
7892815	2.448
7892816	7.325
7892817	12.479
7892818	2.444
7892819	2.210
7892820	8.692
7892821	2.198
7892822	3.022
7892823	5.115
7892824	7.328
7892825	2.933
7892826	6.626
7892827	10.892
7892828	2.228
7892829	11.205
7892830	10.299
7892831	8.355
7892832	7.231
7892833	2.796
7892834	3.135
7892835	10.855
7892836	9.641
7892837	10.021
7892838	8.713
7892839	2.564
7892840	5.496
7892841	8.760
7892842	2.950
7892843	4.894
7892844	3.550
7892845	6.719
