ID_REF	VALUE
7892501	2.514
7892502	3.559
7892503	2.609
7892504	8.746
7892505	2.785
7892506	2.690
7892507	3.893
7892508	5.977
7892509	10.168
7892510	3.759
7892511	3.527
7892512	5.424
7892513	2.614
7892514	9.721
7892515	8.782
7892516	2.677
7892517	6.880
7892518	2.866
7892519	3.560
7892520	7.843
7892521	8.084
7892522	6.119
7892524	5.870
7892525	4.247
7892526	5.161
7892527	7.728
7892528	2.266
7892529	4.499
7892530	7.357
7892531	6.623
7892532	3.697
7892533	7.148
7892534	6.293
7892535	4.964
7892536	9.742
7892537	3.279
7892538	4.415
7892539	4.786
7892540	4.795
7892541	9.410
7892542	7.771
7892543	5.217
7892544	4.046
7892545	3.852
7892547	3.574
7892548	7.737
7892549	5.374
7892550	5.562
7892551	9.651
7892552	3.796
7892553	3.883
7892554	3.744
7892555	7.004
7892556	11.730
7892557	2.533
7892558	3.838
7892559	5.662
7892560	4.205
7892561	10.179
7892562	7.049
7892563	6.224
7892564	9.628
7892565	4.959
7892566	3.321
7892567	5.352
7892568	9.746
7892569	8.031
7892570	5.031
7892571	3.110
7892572	6.651
7892573	3.883
7892574	9.719
7892575	6.116
7892576	4.683
7892577	2.595
7892578	3.732
7892579	8.138
7892580	3.083
7892581	2.757
7892582	2.789
7892583	3.600
7892584	4.624
7892585	3.982
7892586	2.541
7892587	4.368
7892588	1.928
7892589	7.250
7892590	2.144
7892591	2.828
7892592	5.019
7892593	3.179
7892594	3.057
7892595	4.145
7892596	3.285
7892597	3.748
7892598	9.114
7892599	9.098
7892600	2.616
7892601	3.796
7892602	2.894
7892603	3.087
7892604	4.335
7892605	7.925
7892606	10.652
7892608	7.150
7892609	4.120
7892610	5.316
7892611	2.341
7892612	2.839
7892613	8.873
7892614	3.404
7892615	4.161
7892616	1.969
7892617	12.114
7892618	5.433
7892619	2.803
7892620	11.265
7892621	11.584
7892622	9.205
7892623	9.584
7892624	3.628
7892625	4.778
7892626	2.896
7892627	5.984
7892628	7.142
7892629	3.479
7892630	9.142
7892631	2.205
7892632	5.046
7892633	8.165
7892634	7.875
7892635	6.483
7892636	8.232
7892637	6.171
7892638	2.241
7892639	8.580
7892640	11.311
7892641	4.886
7892642	8.149
7892643	7.264
7892644	7.170
7892645	2.346
7892646	2.017
7892647	6.410
7892648	8.855
7892649	4.094
7892650	11.367
7892651	2.991
7892652	10.822
7892653	2.297
7892654	9.729
7892655	2.032
7892656	3.423
7892657	1.904
7892658	2.898
7892659	3.163
7892660	1.829
7892661	8.875
7892662	8.843
7892663	11.383
7892664	6.295
7892665	5.503
7892666	2.631
7892667	7.151
7892668	10.557
7892669	5.685
7892670	6.464
7892671	5.097
7892672	4.196
7892673	3.930
