ID_REF	VALUE
7892501	2.460
7892502	4.572
7892503	2.593
7892504	8.604
7892505	2.308
7892506	3.054
7892507	5.070
7892508	6.722
7892509	10.378
7892510	4.690
7892511	4.280
7892512	5.162
7892513	2.935
7892514	9.750
7892515	9.264
7892516	2.929
7892517	6.873
7892518	3.335
7892519	3.831
7892520	8.148
7892521	8.343
7892522	5.260
7892524	5.503
7892525	4.841
7892526	6.190
7892527	7.716
7892528	2.297
7892529	4.551
7892530	6.889
7892531	7.141
7892532	3.481
7892533	7.600
7892534	6.275
7892535	5.377
7892536	9.970
7892537	3.053
7892538	4.797
7892539	6.359
7892540	4.164
7892541	9.885
7892542	8.751
7892543	5.127
7892544	3.903
7892545	4.500
7892547	3.818
7892548	7.933
7892549	5.543
7892550	5.588
7892551	9.853
7892552	4.057
7892553	5.212
7892554	3.538
7892555	7.580
7892556	11.753
7892557	3.210
7892558	2.997
7892559	4.525
7892560	3.964
7892561	9.955
7892562	7.149
7892563	6.532
7892564	9.693
7892565	5.369
7892566	3.873
7892567	6.314
7892568	10.559
7892569	8.759
7892570	6.560
7892571	3.307
7892572	7.026
7892573	5.979
7892574	9.586
7892575	6.994
7892576	5.083
7892577	2.699
7892578	4.766
7892579	8.126
7892580	2.899
7892581	4.175
7892582	3.440
7892583	4.255
7892584	4.975
7892585	3.512
7892586	2.587
7892587	5.058
7892588	2.242
7892589	5.527
7892590	3.480
7892591	3.093
7892592	5.585
7892593	3.655
7892594	4.792
7892595	4.613
7892596	4.493
7892597	4.449
7892598	9.614
7892599	9.870
7892600	2.236
7892601	3.635
7892602	3.061
7892603	5.215
7892604	4.046
7892605	8.537
7892606	10.802
7892608	7.764
7892609	3.691
7892610	5.000
7892611	2.215
7892612	3.019
7892613	8.998
7892614	2.894
7892615	4.298
7892616	2.130
7892617	12.023
7892618	6.668
7892619	2.563
7892620	11.283
7892621	11.262
7892622	9.812
7892623	9.351
7892624	3.321
7892625	5.555
7892626	2.978
7892627	6.120
7892628	7.441
7892629	5.067
7892630	9.166
7892631	2.146
7892632	5.000
7892633	7.466
7892634	8.042
7892635	6.997
7892636	8.345
7892637	6.797
7892638	2.289
7892639	8.781
7892640	11.613
7892641	4.887
7892642	7.824
7892643	7.184
7892644	7.494
7892645	2.646
7892646	2.009
7892647	8.450
7892648	9.180
7892649	3.624
7892650	10.878
7892651	2.671
7892652	10.578
7892653	2.586
7892654	9.263
7892655	2.535
7892656	2.729
7892657	2.041
7892658	2.785
7892659	3.016
7892660	1.885
7892661	8.911
7892662	9.007
7892663	10.895
7892664	6.872
7892665	5.470
7892666	2.471
7892667	7.053
7892668	10.361
7892669	6.170
7892670	7.194
7892671	5.356
7892672	6.440
7892673	4.423
7892674	7.440
7892675	6.847
7892676	3.648
7892677	9.861
7892678	7.553
7892679	5.192
7892680	7.949
7892681	6.912
7892682	2.535
7892683	4.662
7892684	9.490
7892685	5.294
7892686	5.816
7892687	4.690
7892688	7.236
7892689	4.296
7892690	3.648
7892691	1.950
7892692	8.350
7892693	6.363
7892694	6.523
7892695	4.986
7892696	5.450
7892697	5.761
7892698	2.088
7892699	6.702
7892700	4.918
7892701	11.071
7892702	4.582
7892703	6.727
7892704	11.957
7892705	6.941
7892706	8.196
7892707	9.760
7892708	4.856
7892709	2.053
7892710	3.007
7892711	6.085
7892712	8.116
7892713	9.298
7892714	3.662
7892715	3.499
7892716	5.345
7892717	5.666
7892718	3.960
7892719	8.341
7892720	5.981
7892721	6.952
7892722	1.849
7892723	3.982
7892724	5.188
7892725	3.422
7892726	3.529
7892727	4.194
7892728	3.551
7892729	5.492
7892730	3.470
7892731	5.783
7892732	5.434
7892733	2.834
7892734	5.750
7892735	4.570
7892736	4.420
7892737	3.909
7892738	7.620
7892739	4.452
7892740	3.683
7892741	7.027
7892742	7.858
7892743	2.630
7892744	7.958
7892745	7.434
7892746	2.993
7892747	6.729
7892748	8.223
7892749	5.258
7892750	4.603
7892751	6.599
7892752	2.595
7892753	12.326
7892754	5.168
7892755	3.642
7892756	2.077
7892757	7.310
7892758	5.429
7892759	6.517
7892760	3.362
7892761	5.091
7892762	11.687
7892763	7.615
7892764	10.271
7892765	8.310
7892766	10.399
7892767	2.436
7892768	2.888
7892769	2.149
7892770	9.954
7892771	8.516
7892772	5.129
7892773	7.118
7892774	5.385
7892775	6.996
7892776	9.972
7892777	3.473
7892778	5.541
7892779	5.368
7892780	5.353
7892781	3.198
7892782	10.739
7892783	8.428
7892784	5.230
7892785	3.356
7892786	8.599
7892787	3.334
7892788	9.358
7892789	6.497
7892790	3.617
7892791	10.178
7892792	5.277
7892793	3.968
7892794	4.397
7892795	5.277
7892796	12.292
7892797	6.099
7892798	4.148
7892799	3.641
7892800	3.454
7892801	3.363
7892802	9.581
7892803	10.845
7892804	4.017
7892805	2.680
7892806	2.504
7892807	5.813
7892808	8.414
7892809	3.480
7892810	4.554
7892811	2.863
7892812	5.234
7892813	3.466
7892814	9.048
7892815	2.434
7892816	7.810
7892817	12.159
7892818	2.329
7892819	5.220
7892820	8.777
7892821	2.448
7892822	3.729
7892823	5.192
7892824	7.699
7892825	3.155
7892826	6.977
7892827	11.097
7892828	2.348
7892829	11.836
7892830	10.378
7892831	8.825
7892832	7.790
7892833	3.666
7892834	4.008
7892835	10.806
7892836	10.612
7892837	9.689
7892838	9.483
7892839	2.264
7892840	5.684
7892841	8.230
7892842	3.416
7892843	5.508
7892844	3.101
7892845	5.999
7892846	11.942
7892847	8.524
7892848	8.960
7892849	2.422
7892850	8.142
7892851	5.193
7892852	5.839
7892853	10.239
7892854	3.943
7892855	4.012
7892856	5.481
7892857	10.834
7892858	2.191
7892859	5.093
7892860	3.865
7892861	10.342
7892862	9.317
7892863	6.636
7892864	3.229
7892865	8.966
7892866	4.329
7892867	4.031
7892868	11.357
7892869	8.890
7892870	8.434
7892871	8.129
7892872	6.400
7892873	4.207
7892874	3.429
7892875	4.920
7892876	5.280
7892877	5.111
7892878	4.754
7892879	4.091
7892880	9.821
7892881	4.287
7892882	9.185
7892883	3.437
7892884	9.968
7892885	3.840
7892886	3.993
7892887	2.677
7892888	7.801
7892889	11.416
7892890	10.500
7892891	11.410
7892892	4.835
7892893	8.025
7892894	10.414
7892895	4.426
7892896	11.036
7892897	5.665
7892898	6.472
7892899	10.121
7892900	11.342
7892901	10.599
7892902	11.539
7892903	6.821
7892904	5.317
7892905	4.111
7892906	10.119
7892907	10.507
7892908	5.023
7892909	6.849
7892910	4.346
7892911	5.470
7892912	3.357
7892913	6.260
7892914	4.318
7892915	7.597
7892916	4.668
7892917	5.009
7892918	5.008
7892919	5.932
7892920	8.443
7892921	2.712
7892922	3.770
7892923	2.371
7892924	10.657
7892925	8.237
7892926	7.500
7892927	3.949
7892928	9.917
7892929	2.836
7892930	10.771
7892931	3.988
7892932	8.185
7892933	7.339
7892934	5.987
7892935	8.592
7892936	3.323
7892937	6.594
7892938	8.415
7892939	9.423
7892940	10.229
7892941	9.908
7892942	3.994
7892943	2.208
7892944	8.423
7892945	3.321
7892946	4.655
7892947	10.475
7892948	10.174
7892949	5.639
7892950	2.802
7892951	7.680
7892952	5.946
7892953	6.018
7892954	9.918
7892955	8.786
7892956	9.928
7892957	4.591
7892958	4.022
7892959	6.115
7892960	9.199
7892961	5.803
7892962	3.492
7892963	4.265
7892964	4.136
7892965	2.376
7892966	8.830
7892967	9.055
7892968	8.222
7892969	10.277
7892970	3.440
7892971	2.211
7892972	10.602
7892973	3.085
7892974	4.054
7892975	2.795
7892976	5.302
7892977	9.686
7892978	7.081
7892979	10.014
7892980	6.909
7892981	9.805
7892982	5.674
7892983	11.066
7892984	5.985
7892985	4.659
7892986	10.986
7892987	11.418
7892988	2.189
7892989	5.811
7892990	7.259
7892991	7.429
7892992	10.877
7892993	9.434
7892994	2.779
7892995	2.849
7892996	6.560
7892997	2.739
7892998	8.803
7892999	2.517
7893000	3.863
7893001	8.252
7893002	10.216
7893003	4.739
7893004	6.948
7893005	2.753
7893006	6.038
7893007	7.464
7893008	4.477
7893009	3.641
7893010	5.496
7893011	4.479
7893012	10.215
7893013	4.551
7893014	6.282
7893015	10.595
7893016	3.289
7893017	5.633
7893018	4.109
7893019	7.066
7893021	2.896
7893022	3.665
7893023	8.321
7893024	3.372
7893025	6.136
7893026	4.364
7893027	5.384
7893028	5.759
7893029	8.857
7893030	3.281
7893031	7.830
7893032	6.822
7893033	6.092
7893034	6.250
7893035	4.736
7893036	7.532
7893037	4.776
7893038	2.626
7893039	8.972
7893040	6.115
7893041	3.531
7893042	8.335
7893043	6.395
7893044	3.163
7893045	2.111
7893046	3.673
7893047	3.912
7893048	6.221
7893049	2.735
7893050	7.837
7893051	3.230
7893052	3.718
7893053	4.064
7893055	6.683
7893056	5.717
7893057	2.760
7893058	8.543
7893059	3.240
7893060	4.484
7893061	9.796
7893062	4.451
7893063	5.653
7893064	7.595
7893065	3.181
7893066	2.658
7893067	7.534
7893068	5.685
7893069	6.242
7893070	10.949
7893071	5.843
7893072	5.382
7893073	9.785
7893074	6.749
7893075	6.112
7893076	4.551
7893077	12.215
7893078	2.079
7893079	8.704
7893080	3.784
7893081	10.101
7893082	4.134
7893083	4.441
7893084	9.227
7893085	9.753
7893086	8.876
7893087	8.965
7893088	5.250
7893089	5.389
7893090	10.048
7893091	7.135
7893092	3.377
7893093	2.998
7893094	9.661
7893095	3.022
7893096	8.661
7893097	8.615
7893098	6.494
7893099	5.063
7893100	4.220
7893101	12.153
7893102	5.374
7893103	11.584
7893104	8.643
7893105	8.856
7893106	5.866
7893107	2.663
7893108	1.913
7893109	3.968
7893110	4.507
7893111	6.655
7893112	5.664
7893113	7.497
7893114	4.019
7893115	3.937
7893116	8.250
7893117	2.584
7893118	6.652
7893119	5.320
7893120	4.287
7893121	9.108
7893122	7.116
7893123	7.234
7893124	3.819
7893125	6.659
7893126	2.904
7893127	4.669
7893128	5.551
7893129	5.198
7893130	10.388
7893131	9.138
7893132	4.003
7893133	11.232
7893134	5.942
7893135	2.806
7893136	3.850
7893137	4.301
7893138	11.535
7893139	11.779
7893140	10.451
7893141	7.362
7893142	7.476
7893143	5.061
7893144	2.422
7893145	4.806
7893146	3.745
7893147	12.103
7893148	8.072
7893149	3.117
7893150	8.240
7893151	4.988
7893152	9.785
7893153	10.821
7893154	6.713
7893155	5.413
7893156	3.954
7893157	2.318
7893158	5.111
7893159	5.872
7893160	9.497
7893161	2.395
7893162	4.569
7893163	2.507
7893164	8.614
7893165	5.324
7893166	4.675
7893167	4.057
7893168	6.619
7893169	6.662
7893170	7.242
7893171	7.014
7893172	7.551
7893173	11.036
7893174	2.526
7893175	5.330
7893176	2.393
7893177	4.868
7893178	3.372
7893179	5.602
7893180	5.110
7893181	7.984
7893182	5.653
7893183	3.254
7893184	6.178
7893185	5.593
7893186	3.177
7893187	10.123
7893188	6.227
7893189	12.046
7893190	6.429
7893191	10.423
7893192	2.551
7893193	3.029
7893194	8.628
7893195	2.984
7893196	10.126
7893197	2.112
7893198	2.388
7893199	2.902
7893200	2.379
7893201	10.087
7893202	7.593
7893203	2.532
7893204	6.266
7893205	10.211
7893206	5.839
7893207	6.260
7893208	7.144
7893209	6.226
7893210	6.212
7893211	3.181
7893212	5.137
7893213	5.450
7893214	3.403
7893215	6.288
7893216	5.501
7893217	8.922
7893218	11.991
7893219	5.000
7893220	8.531
7893221	2.242
7893222	5.298
7893223	5.162
7893224	5.500
7893225	6.380
7893226	3.189
7893227	6.226
7893228	6.109
7893229	4.632
7893230	3.196
7893231	11.196
7893232	5.077
7893233	2.688
7893234	4.309
7893235	7.456
7893236	4.389
7893237	8.232
7893238	9.388
7893239	4.481
7893240	9.187
7893241	6.018
7893242	8.420
7893243	4.864
7893244	7.873
7893245	3.042
7893246	4.878
7893247	9.419
7893248	7.910
7893249	4.822
7893250	4.928
7893251	5.171
7893252	3.034
7893253	4.310
7893254	6.058
7893255	4.850
7893256	4.078
7893257	7.234
7893258	8.616
7893259	7.703
7893260	3.069
7893261	11.028
7893262	8.626
7893263	4.149
7893264	11.391
7893265	3.618
7893266	9.716
7893267	4.068
7893268	8.329
7893269	3.997
7893270	11.701
7893271	9.842
7893272	10.196
7893273	6.583
7893274	2.148
7893275	3.890
7893276	2.388
7893277	3.274
7893278	4.636
7893279	3.487
7893280	3.307
7893281	11.344
7893282	5.136
7893283	8.637
7893284	5.588
7893285	5.254
7893286	5.534
7893287	3.881
7893288	7.095
7893289	10.517
7893290	5.637
7893291	4.713
7893292	2.463
7893293	2.542
7893294	7.459
7893295	2.152
7893296	5.673
7893297	9.271
7893298	9.203
7893299	5.289
7893300	3.641
7893301	2.391
7893302	4.804
7893303	3.405
7893304	7.202
7893305	4.171
7893306	5.280
7893307	6.936
7893308	5.641
7893309	6.268
7893310	4.449
7893311	9.665
7893312	1.827
7893313	8.431
7893314	7.236
7893315	5.990
7893316	10.937
7893317	3.471
7893318	5.679
7893319	7.236
7893320	7.352
7893321	10.952
7893322	4.079
7893323	3.570
7893324	5.421
7893325	6.948
7893326	2.681
7893327	3.900
