ID_REF	VALUE
7892501	3.875
7892502	3.859
7892503	2.766
7892504	8.306
7892505	2.673
7892506	3.362
7892507	3.519
7892508	6.376
7892509	9.780
7892510	4.853
7892511	3.849
7892512	4.685
7892513	3.106
7892514	9.256
7892515	8.791
7892516	2.708
7892517	7.531
7892518	3.479
7892519	4.047
7892520	7.724
7892521	8.224
7892522	5.900
7892524	5.745
7892525	4.373
7892526	4.649
7892527	7.854
7892528	2.496
7892529	4.923
7892530	6.909
7892531	6.312
7892532	5.257
7892533	7.258
7892534	6.109
7892535	5.729
7892536	9.471
7892537	3.407
7892538	4.930
7892539	4.170
7892540	4.735
7892541	9.159
7892542	7.982
7892543	5.721
7892544	4.298
7892545	5.316
7892547	3.587
7892548	7.924
7892549	5.588
7892550	5.439
7892551	9.748
7892552	3.597
7892553	4.566
7892554	3.494
7892555	6.925
7892556	11.768
7892557	2.301
7892558	3.628
7892559	5.212
7892560	4.195
7892561	9.950
7892562	7.063
7892563	5.532
7892564	9.099
7892565	5.718
7892566	4.141
7892567	5.777
7892568	9.798
7892569	8.767
7892570	5.806
7892571	2.890
7892572	6.622
7892573	4.799
7892574	9.364
7892575	5.884
7892576	3.902
7892577	2.640
7892578	3.904
7892579	8.074
7892580	3.575
7892581	4.444
7892582	3.129
7892583	3.656
7892584	4.977
7892585	3.908
7892586	2.721
7892587	5.100
7892588	2.046
7892589	5.529
7892590	2.892
7892591	2.437
7892592	5.003
7892593	4.841
7892594	3.770
7892595	3.759
7892596	3.360
7892597	4.138
7892598	9.244
7892599	9.438
7892600	2.371
7892601	3.796
7892602	3.198
7892603	4.437
7892604	3.351
7892605	8.072
7892606	10.509
7892608	7.415
7892609	4.173
7892610	5.576
7892611	2.333
7892612	2.825
7892613	8.970
7892614	3.138
7892615	4.250
7892616	1.910
7892617	12.099
7892618	5.862
7892619	2.851
7892620	11.225
7892621	11.487
7892622	9.532
7892623	8.896
7892624	3.154
7892625	5.909
7892626	3.533
7892627	6.096
7892628	7.098
7892629	3.479
7892630	9.085
7892631	2.310
7892632	4.422
7892633	8.388
7892634	7.904
7892635	6.246
7892636	8.097
7892637	7.098
7892638	2.140
7892639	8.666
7892640	11.199
7892641	4.697
7892642	7.640
7892643	7.410
7892644	7.543
7892645	2.643
7892646	1.947
7892647	6.031
7892648	8.997
7892649	4.433
7892650	11.115
7892651	2.613
7892652	10.412
7892653	2.426
7892654	9.262
7892655	2.302
7892656	3.146
7892657	1.928
7892658	2.697
7892659	3.240
7892660	2.225
7892661	9.131
7892662	9.060
7892663	11.176
7892664	5.352
7892665	5.104
7892666	2.608
7892667	7.105
7892668	10.281
7892669	6.311
7892670	7.163
7892671	4.784
7892672	4.373
7892673	4.223
7892674	6.623
7892675	5.808
7892676	2.615
7892677	9.384
7892678	6.713
7892679	5.495
7892680	7.775
7892681	6.958
7892682	2.794
7892683	3.165
7892684	8.695
7892685	4.622
7892686	6.304
7892687	3.897
7892688	8.396
7892689	3.826
7892690	2.750
7892691	2.161
7892692	7.338
7892693	6.382
7892694	6.722
7892695	4.801
7892696	5.357
7892697	5.940
7892698	2.112
7892699	5.268
7892700	5.257
7892701	10.803
7892702	4.029
7892703	6.610
7892704	12.330
7892705	6.751
7892706	7.675
7892707	9.024
7892708	4.070
7892709	2.094
7892710	2.965
7892711	6.187
7892712	7.577
7892713	9.193
7892714	2.527
7892715	3.172
7892716	4.108
7892717	3.383
7892718	3.829
7892719	7.833
7892720	6.130
7892721	6.885
7892722	2.026
7892723	2.401
7892724	3.197
7892725	2.437
7892726	3.818
7892727	4.587
7892728	3.251
7892729	4.211
7892730	2.718
7892731	6.445
7892732	3.845
7892733	2.330
7892734	6.056
7892735	4.544
7892736	3.238
7892737	3.497
7892738	7.754
7892739	5.735
7892740	4.509
7892741	6.991
